file,partition
vcolc2,test
nmen2,test
cglu,test
hpyl,test
cpneu3,test
rconorii,test
xfas,train
styp,train
xcamp,train
linno,train
mtub2,train
llac,train
bbur,train
baphi,train
btheta,train
rsolac2,train
atum1c1,train
mpneu,train
cjen,train
caceto,train
cmur,train
bsp,train
bsub,train
rsola,train
bhal,train
xcitri,train
bmelic2,train
mtub,train
dra1,train
tteng,train
tmar,train
tpal,train
synecho,train
atum2c1,train
hpyl99,train
fnucl,train
vvul1c2,train
mgen,train
spyo2,train
pmul,train
paer,train
scoel,train
mpul,train
sent,train
nmen1,train
vcolc1,train
atum1c2,train
hinf,train
mlep,train
uure,train
spneu1,train
vvul1c1,train
mloti,train
bmelic1,train
cpneu,train
ctra,train
ccres,train
vvul2c2,valid
ecoli3,valid
ecoli,valid
atum2c2,valid
smel,valid
sau1,valid
nsp,valid
spneu2,train
vvul2c1,train
spyo,train
dra2,train
sau3,train
aquae,train
cperf,train
ctep,train
ecoli2,train
ypestis,train
lmono,train
cpneu2,train
sau2,train
rpxx,train
